"Benchmark,Agent_Scaffold,Model,Pct_Resolved,Cost_USD,Cost_Type,Source"
"SWE-bench Multimodal,SWE-agent Base,Claude 3.5 Sonnet,12.20%,$1.52,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,Agentless JS,GPT-4o,3.10%,$0.38,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,Agentless JS,Claude 3.5 Sonnet,6.20%,$0.42,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,RAG baseline,GPT-4o,6.00%,$0.17,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,RAG baseline,Claude 3.5 Sonnet,5.00%,$0.15,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-rebench,Claude Code,Claude Opus 4.6 + Haiku 4.5,52.90%,$3.50,per task avg,swe-rebench.com"
"SWE-rebench,Junie (JetBrains),gemini-3-flash + gpt-4.1-mini + gpt-4.1,52.10%,$0.27,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Claude Opus 4.6,51.70%,$0.93,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5.2 (xhigh reasoning),51.70%,$1.28,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5.2 (medium reasoning),51.00%,$0.76,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5.1-codex-max,48.50%,$0.73,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Claude Sonnet 4.5,47.10%,$0.94,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Gemini 3 Pro Preview,46.70%,$0.59,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Gemini 3 Flash Preview,46.70%,$0.32,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5.2-codex,45.00%,$0.46,per task avg,swe-rebench.com"
"SWE-rebench,Codex (OpenAI CLI),gpt-5.2-codex,44.00%,$0.29,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Claude Opus 4.5,43.80%,$1.19,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Kimi K2 Thinking,43.80%,$0.42,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5.1-codex,42.90%,$0.64,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,GLM-5,42.10%,$0.45,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,GLM-4.7,41.30%,$0.27,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-Coder-Next (~3B active),40.00%,$0.49,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,MiniMax M2.5,39.60%,$0.09,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Kimi K2.5,37.90%,$0.18,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Devstral-2-123B,37.50%,$0.09,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,DeepSeek-V3.2,37.50%,$0.15,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,GLM-4.6,37.10%,$0.23,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5-mini (high reasoning),35.00%,$0.70,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Kimi K2 Instruct 0905,34.30%,$0.33,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Devstral-Small-2-24B,32.10%,$0.12,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,GLM-4.5 Air,31.80%,$0.07,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,MiniMax M2.1,31.70%,$0.11,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-Coder-480B-A35B,31.70%,$0.33,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-5-mini (medium reasoning),30.80%,$0.31,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,GLM-4.7 Flash,25.40%,$0.05,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,gpt-oss-120b,24.60%,$0.17,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-235B-A22B-Instruct-2507,23.80%,$0.22,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,DeepSeek-R1-0528,21.70%,$0.41,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-Coder-30B-A3B,18.00%,$0.05,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-Next-80B-A3B,15.40%,$0.12,per task avg,swe-rebench.com"
"SWE-rebench,SWE-agent,Qwen3-30B-A3B-Instruct-2507,7.10%,$0.12,per task avg,swe-rebench.com"
