model,provider,accuracy_pct,cost_per_task_usd,release_ym,scaffold_context,source,source_url,retrieved,benchmark,notes
GPT-5 Codex,OpenAI,69.4,2.213,2025-08,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Haiku 4.5 (thinking),Anthropic,68.8,0.436,2025-10,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5,OpenAI,68.8,1.407,2025-08,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Kimi K2.5 (thinking),Moonshot,68.6,0.207,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
DeepSeek V3p2,DeepSeek,68.4,0.089,2026-03,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.2 Codex,OpenAI,67.4,0.77,2025-12,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.1,OpenAI,67.2,0.939,2025-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
DeepSeek V3p2 (thinking),DeepSeek,67.2,0.097,2026-03,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Sonnet 4,Anthropic,65.0,1.244,2025-05,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Qwen3.5 Flash,Alibaba,64.0,0.217,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Devstral 2512,Mistral,50.4,0.634,2025-12,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
GPT-4.1,OpenAI,46.0,0.32,2025-04,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
Claude-3.7 Sonnet,Anthropic,44.0,0.28,2025-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
GPT-4o,OpenAI,33.0,0.15,2024-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
Claude-3.5 Sonnet (new),Anthropic,49.0,0.22,2024-10,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
Claude-3.5 Sonnet (old),Anthropic,33.0,0.12,2024-07,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
Claude-3 Opus,Anthropic,22.0,0.1,2024-03,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Historical value from paper/blog (approximate)
